Cue	NORMAL Breathing
15076062	0.000
15076064	0.372
15076067	0.744
15076070	1.116
15076073	1.488
15076076	1.861
15076079	2.233
15076082	2.605
15076085	2.977
15076087	3.349
15076090	3.721
15076093	3.721
15076096	3.722
15076099	3.722
15076102	3.722
15076105	3.722
15076108	3.722
15076110	3.722
15076113	3.722
15076116	3.722
15076119	3.722
15076122	3.723
15076125	3.723
15076128	3.723
15076131	3.723
15076134	3.723
15076136	3.723
15076139	3.723
15076142	3.723
15076145	3.723
15076148	3.723
15076151	3.723
15076154	3.722
15076157	3.723
15076159	3.722
15076162	3.723
15076165	3.723
15076168	3.723
15076171	3.723
15076174	3.723
15076177	3.724
15076180	3.723
15076182	3.723
15076185	3.722
15076188	3.722
15076191	3.722
15076194	3.721
15076197	3.719
15076200	3.717
15076203	3.715
15076206	3.713
15076208	3.711
15076211	3.709
15076214	3.708
15076217	3.706
15076220	3.705
15076223	3.704
15076226	3.704
15076229	3.703
15076231	3.702
15076234	3.702
15076237	3.701
15076240	3.700
15076243	3.699
15076246	3.698
15076249	3.698
15076252	3.698
15076254	3.698
15076257	3.698
15076260	3.700
15076263	3.701
15076266	3.703
15076269	3.705
15076272	3.706
15076275	3.708
15076278	3.709
15076280	3.710
15076283	3.711
15076286	3.712
15076289	3.713
15076292	3.713
15076295	3.714
15076298	3.714
15076301	3.715
15076303	3.715
15076306	3.715
15076309	3.714
15076312	3.714
15076315	3.713
15076318	3.713
15076321	3.712
15076324	3.712
15076326	3.712
15076329	3.712
15076332	3.713
15076335	3.714
15076338	3.714
15076341	3.715
15076344	3.716
15076347	3.717
15076350	3.718
15076352	3.718
15076355	3.719
15076358	3.719
15076361	3.719
15076364	3.719
15076367	3.719
15076370	3.719
15076373	3.719
15076375	3.718
15076378	3.718
15076381	3.717
15076384	3.717
15076387	3.716
15076390	3.715
15076393	3.714
15076396	3.713
15076398	3.712
15076401	3.711
15076404	3.709
15076407	3.707
15076410	3.705
15076413	3.703
15076416	3.701
15076419	3.700
15076422	3.699
15076424	3.699
15076427	3.699
15076430	3.700
15076433	3.701
15076436	3.702
15076439	3.704
15076442	3.706
15076445	3.708
15076447	3.710
15076450	3.711
15076453	3.712
15076456	3.713
15076459	3.713
15076462	3.713
15076465	3.713
15076468	3.713
15076470	3.714
15076473	3.714
15076476	3.714
15076479	3.715
15076482	3.715
15076485	3.716
15076488	3.716
15076491	3.716
15076494	3.717
15076496	3.718
15076499	3.718
15076502	3.718
15076505	3.719
15076508	3.719
15076511	3.720
15076514	3.720
15076517	3.720
15076519	3.721
15076522	3.721
15076525	3.721
15076528	3.721
15076531	3.721
15076534	3.722
15076537	3.722
15076540	3.722
15076542	3.723
15076545	3.723
15076548	3.723
15076551	3.723
15076554	3.722
15076557	3.722
15076560	3.722
15076563	3.721
15076566	3.721
15076568	3.720
15076571	3.718
15076574	3.717
15076577	3.715
15076580	3.712
15076583	3.710
15076586	3.707
15076589	3.705
15076591	3.702
15076594	3.700
15076597	3.698
15076600	3.695
15076603	3.693
15076606	3.691
15076609	3.689
15076612	3.687
15076614	3.686
15076617	3.684
15076620	3.682
15076623	3.680
15076626	3.678
15076629	3.675
15076632	3.674
15076635	3.672
15076637	3.671
15076640	3.670
15076643	3.669
15076646	3.668
15076649	3.668
15076652	3.668
15076655	3.669
15076658	3.670
15076661	3.672
15076663	3.673
15076666	3.675
15076669	3.677
15076672	3.678
15076675	3.680
15076678	3.681
15076681	3.683
15076684	3.684
15076686	3.685
15076689	3.686
15076692	3.687
15076695	3.688
15076698	3.688
15076701	3.689
15076704	3.690
15076707	3.691
15076710	3.692
15076712	3.692
15076715	3.693
15076718	3.694
15076721	3.695
15076724	3.696
15076727	3.697
15076730	3.698
15076733	3.699
15076735	3.701
15076738	3.702
15076741	3.703
15076744	3.704
15076747	3.705
15076750	3.706
15076753	3.707
15076756	3.708
15076758	3.709
15076761	3.709
15076764	3.710
15076767	3.711
15076770	3.712
15076773	3.712
15076776	3.713
15076779	3.713
15076782	3.714
15076784	3.714
15076787	3.715
15076790	3.715
15076793	3.715
15076796	3.715
15076799	3.715
15076802	3.716
15076805	3.716
15076807	3.716
15076810	3.715
15076813	3.715
15076816	3.714
15076819	3.714
15076822	3.714
15076825	3.713
15076828	3.712
15076830	3.712
15076833	3.711
15076836	3.711
15076839	3.710
15076842	3.709
15076845	3.709
15076848	3.708
15076851	3.706
15076854	3.705
15076856	3.703
15076859	3.700
15076862	3.698
15076865	3.695
15076868	3.692
15076871	3.689
15076874	3.686
15076877	3.683
15076879	3.680
15076882	3.677
15076885	3.674
15076888	3.672
15076891	3.670
15076894	3.669
15076897	3.667
15076900	3.666
15076902	3.666
15076905	3.667
15076908	3.669
15076911	3.671
15076914	3.674
15076917	3.676
15076920	3.679
15076923	3.682
15076926	3.685
15076928	3.687
15076931	3.689
15076934	3.691
15076937	3.692
15076940	3.693
15076943	3.693
15076946	3.694
15076949	3.694
15076951	3.694
