Cue	NORMAL Breathing
15076062	0.000
15076065	0.351
15076068	0.701
15076071	1.052
15076074	1.402
15076076	1.753
15076079	2.104
15076082	2.455
15076085	2.805
15076088	3.156
15076091	3.507
15076094	3.507
15076097	3.508
15076099	3.508
15076102	3.508
15076105	3.509
15076108	3.509
15076111	3.509
15076114	3.510
15076117	3.510
15076120	3.510
15076122	3.510
15076125	3.510
15076128	3.511
15076131	3.511
15076134	3.510
15076137	3.510
15076140	3.510
15076143	3.510
15076146	3.510
15076148	3.510
15076151	3.510
15076154	3.510
15076157	3.510
15076160	3.510
15076163	3.510
15076166	3.510
15076169	3.511
15076171	3.511
15076174	3.512
15076177	3.512
15076180	3.512
15076183	3.513
15076186	3.513
15076189	3.513
15076192	3.514
15076194	3.514
15076197	3.514
15076200	3.514
15076203	3.514
15076206	3.514
15076209	3.513
15076212	3.513
15076215	3.513
15076218	3.513
15076220	3.512
15076223	3.512
15076226	3.512
15076229	3.512
15076232	3.512
15076235	3.512
15076238	3.512
15076241	3.512
15076243	3.512
15076246	3.512
15076249	3.513
15076252	3.512
15076255	3.513
15076258	3.513
15076261	3.513
15076264	3.513
15076266	3.513
15076269	3.513
15076272	3.513
15076275	3.513
15076278	3.513
15076281	3.513
15076284	3.512
15076287	3.512
15076290	3.512
15076292	3.512
15076295	3.512
15076298	3.512
15076301	3.512
15076304	3.512
15076307	3.513
15076310	3.513
15076313	3.513
15076315	3.513
15076318	3.513
15076321	3.513
15076324	3.513
15076327	3.513
15076330	3.514
15076333	3.514
15076336	3.515
15076338	3.515
15076341	3.516
15076344	3.516
15076347	3.516
15076350	3.517
15076353	3.517
15076356	3.517
15076359	3.517
15076362	3.517
15076364	3.517
15076367	3.517
15076370	3.517
15076373	3.516
15076376	3.515
15076379	3.514
15076382	3.513
15076385	3.511
15076387	3.509
15076390	3.506
15076393	3.503
15076396	3.500
15076399	3.497
15076402	3.494
15076405	3.491
15076408	3.488
15076410	3.485
15076413	3.482
15076416	3.480
15076419	3.478
15076422	3.477
15076425	3.477
15076428	3.478
15076431	3.479
15076434	3.480
15076436	3.482
15076439	3.484
15076442	3.487
15076445	3.489
15076448	3.492
15076451	3.495
15076454	3.497
15076457	3.499
15076459	3.501
15076462	3.502
15076465	3.504
15076468	3.505
15076471	3.507
15076474	3.508
15076477	3.509
15076480	3.510
15076482	3.511
15076485	3.512
15076488	3.512
15076491	3.512
15076494	3.512
15076497	3.513
15076500	3.513
15076503	3.513
15076506	3.513
15076508	3.513
15076511	3.513
15076514	3.513
15076517	3.513
15076520	3.513
15076523	3.514
15076526	3.515
15076529	3.516
15076531	3.516
15076534	3.517
15076537	3.518
15076540	3.519
15076543	3.519
15076546	3.520
15076549	3.520
15076552	3.520
15076554	3.520
15076557	3.521
15076560	3.520
15076563	3.519
15076566	3.518
15076569	3.518
15076572	3.517
15076575	3.517
15076578	3.516
15076580	3.515
15076583	3.514
15076586	3.513
15076589	3.512
15076592	3.511
15076595	3.509
15076598	3.508
15076601	3.507
15076603	3.505
15076606	3.503
15076609	3.502
15076612	3.500
15076615	3.498
15076618	3.496
15076621	3.494
15076624	3.492
15076626	3.490
15076629	3.487
15076632	3.486
15076635	3.484
15076638	3.483
15076641	3.481
15076644	3.481
15076647	3.480
15076650	3.480
15076652	3.481
15076655	3.483
15076658	3.484
15076661	3.485
15076664	3.487
15076667	3.489
15076670	3.491
15076673	3.493
15076675	3.496
15076678	3.497
15076681	3.499
15076684	3.500
15076687	3.502
